inputs,outputs
42.20907790076364,48.8527782703201
42.21599467854697,48.89602165497164
42.222922948314164,48.95846025227754
42.22346757589764,48.968097050944245
42.212447448216885,48.870603743092246
42.17210002626499,48.503686526540505
42.07129520154486,47.589462463789
41.886966118619476,45.92989475930538
41.628212822312165,43.61852614200418
41.33798565220538,41.043852608826164
41.07197556852455,38.695277241716724
40.87358743096445,36.94584505909536
40.76028742373392,35.94078691789501
40.724161806199085,35.60849207724906
40.74171063380119,35.7464004592104
40.78597390130175,36.123236980473
40.83818016902761,36.57478956516911
40.90441372796587,37.145324366920754
41.02698417168232,38.199064685518046
41.25551123604003,40.190172811744524
41.59045900337991,43.165001667366646
41.96800879446482,46.59354348909944
42.301485660895615,49.703590967616236
42.529748631979444,51.90784322643367
42.6398086067998,53.01830224665652
42.661166321100445,53.21456519694125
42.63887403572314,52.85994755654539
42.6048265665402,52.30655109924059
42.56988776777965,51.78595078408027
42.53497718432446,51.395628879597886
42.5013390367885,51.1403441565715
42.47215774931264,50.986312628031826
42.4503928216533,50.89797296648971
42.43707514778964,50.849718241721305
42.43110402872895,50.82512938660812
42.429687656537524,50.80957015409737
42.42898865865792,50.78283993831593
42.42531335940398,50.72266134233254
42.41411554087816,50.59375196782482
42.38284854567417,50.281744462482244
42.304474875785154,49.53697315926409
42.147773016578974,48.07795086971138
41.903180623322704,45.83090116278198
41.59887844902627,43.06510715618399
41.29011668146471,40.28237285411849
41.03242418237937,37.97346605611311
40.86601705709047,36.48066731988392
40.82671436844229,36.097960287666766
40.95246137466907,37.15292724480773
41.250268300504345,39.741424767378334
41.661707968296184,43.402929391179164
42.082390572174816,47.241856990593725
42.41711832518638,50.39205117402239
42.619014779215554,52.382022330118026
42.69318994142882,53.20174795690511
42.676647892514026,53.14784025723747
42.614499551324336,52.61781258182813
42.54439280897348,51.964960077070835
42.48902085695461,51.418431430035774
42.45465795064396,51.05593896224596
42.43690538775929,50.84854012238936
42.430089091061035,50.74341465470814
42.432996212009684,50.70280765683276
42.44809461337281,50.69622140523087
42.47454389124121,50.695816168794956
42.50220869798818,50.68239139443142
42.51731410641479,50.651154051260335
42.51387097377856,50.610232226706124
42.49535826836963,50.559648129149565
42.466916878607584,50.46597170147713
42.42784942948278,50.24993979438378
42.365582359782,49.758285162866656
42.25429234230124,48.754695800900166
42.069207865098946,47.0419460872147
41.81046694612456,44.6606271554179
41.51227187364587,41.94832320587948
41.227892565659026,39.38984192572072
41.004782219099994,37.39785704959103
40.86732737797038,36.1733608093874
40.81382743016496,35.690362696402744
40.82427630601097,35.76849941998434
40.871862571730624,36.17315949443217
40.93665919160396,36.72991535044027
41.02525863042795,37.49214822891523
41.1778808542802,38.81667318393771
41.43266437146259,41.06798209374014
41.77525812700149,44.1605793779948
42.13652801663219,47.50157165359616
42.43685655388965,50.362303433776205
42.62734580768721,52.2555764645058
42.70320473739565,53.085570949552306
42.693383666664204,53.08183327530715
42.638826207527096,52.610736275480065
42.573815062151965,51.9973520642352
42.51877697169556,51.44788876093926
42.48165750082568,51.0541190656022
42.46195509713737,50.82483305159639
42.45496041602339,50.72284959570291
42.454798575293964,50.69486381373773
42.456382005942885,50.6918356969314
42.45725064256179,50.68557696589412
42.458408469218256,50.662727339113395
42.46180615113543,50.588751812755106
42.460502478381294,50.360926410687625
42.42685019123464,49.77169415398882
42.31907368388859,48.55526549666902
42.11133844798693,46.56929360936022
41.819807754960785,43.97092240657551
41.50089733769647,41.208953713368324
41.234724402895786,38.915965476546944
41.110120955586964,37.827252568892334
41.191921428591286,38.53435750730707
41.472377531834944,41.03866282082456
41.86108545316763,44.590649613562725
42.23364227953483,48.0747828235035
42.49647060996801,50.60172962756874
42.6225028821326,51.872997128410134
42.64245436384173,52.13830976311142
42.60949785613896,51.882279018221936
42.56774225236593,51.5223721391652
42.53938340520578,51.27543461261303
42.52781055367352,51.179391579189506
42.52675712978894,51.17795924557244
42.52752742111823,51.18944732757901
42.52407871409655,51.15522945968221
42.5167262296752,51.077139292098195
42.51080643976916,51.00813001159952
42.51075298973171,50.99540004724525
42.5159884315029,51.03732259581024
42.52214187226063,51.0924751963951
42.52522846153532,51.11981138322432
42.524173261010056,51.10493287107379
42.52044578174431,51.058990597615114
42.51828240088677,51.022858495228775
42.52484753232139,51.07175133798085
42.541715497785106,51.23252910621165
42.554388320670455,51.37002604292787
42.545863603970204,51.30602934087912
42.52303564888468,51.08776608845886
42.509943369976504,50.947743029147794
42.511883738352374,50.958517253945544
42.50441986709992,50.897901484012024
